Park,Location,Feature(s)
Ringgold Park,10 Ringgold Str. in South End,"Spray Play, Basketball, Playground"
Ripley Playground,Opposite 24 Ripley Road in Dorchester,"Tennis, Spray Play, Basketball, Playground"
Roberts Playground,56 Dunbar Str. in Dorchester,"Multipurpose Courts, Players Bench, Spray Play, Playground, Basketball"
Rogers Park,Adjacent to 91 Foster St in Allston-Brighton,"Tennis, Basketball, Players Bench, Playground"
Ronan Park,Opposite 65 Mt. Ida Road in Dorchester,"Dog Park, Basketball, Playground, Spray Play"
Rossmore/Stedman Park,Opposite 41 Rossmore Str. in Jamaica Plain,Playground
Ross Playground,130 Westminster Str. in Hyde Park,"Spray Play, Playground, Tennis, Basketball"
Rotch Playground,30 Randolph Str. in South End,"Multipurpose Courts, Players Bench"
Ryan Play Area,9 Harborview Str. in Dorchester,"Playground, Spray Play"
Ryan Playground,62 Alford Street in Charlestown,"Playground, Street Hockey"
Savin Hill Park,Opposite 124 Grampian Way in Dorchester,"Basketball, Tennis"
Shubow Park,1825 Commonwealth Avenue in Allston-Brighton,Playground
Smith Playground,235 Western Ave. in Allston-Brighton,"Pump Track, Playground, Basketball, Dog Park"
South Street Courts & Mall,South & Child Sts in Jamaica Plain,"Basketball, Tennis"
St. James Street Park,Adjacent to 35 St. James Str. in Roxbury,Playground
Stonehill Park,2-16 Raldne St. in Hyde Park,Playground
Sumner & Lamson Street Playground,Opposite 492 Sumner Str. in East Boston,"Spray Play, Basketball, Playground"
Sweeney Playground,180 West Fifth Str. in South Boston,"Spray Play, Playground, Basketball"
Tai Tung Park,"110 Tyler Street, Corner w/Tai Tung St. in Central Boston",Playground
Tebroc Street Playlot,151 Bowdoin Street in Dorchester,Playground
Thetford Evans Playground,Corner of Thetford & Evans Sts in Mattapan,"Tennis, Playground, Spray Play, Basketball"
Titus Sparrow Park,75 West Rutland Sq. in South End,"Basketball, Playground"
Trotter School Playground,Oppoiste 156 Humboldt Ave. in Roxbury,"Playground, Spray Play, Basketball"
Union Park Street Playground,South End,Playground
Walker Playground,550 Norfolk Str. in Mattapan,"Players Bench, Basketball, Spray Play, Playground, Tennis"
Walsh Playground,Opposite 31 Clancy Road in Dorchester,"Basketball, Players Bench, Playground, Tennis"
West Roxbury HS Athletic Fields,Off VFW Pkwy in West Roxbury,"Basketball, Tennis"
Winthrop Playground,Roxbury,"Tennis, Players Bench, Playground, Basketball"
